artist, album, track, timestamp
John Mayer,New Light,New Light,18 Dec 2018 17:36
Joji,BALLADS 1,Slow dancing in the dark,18 Dec 2018 17:33
Clairo,Pretty Girl,Pretty Girl,18 Dec 2018 17:31
Coin,Coin,Run,18 Dec 2018 17:27
mxmtoon,please don't,please don't,18 Dec 2018 17:23
Michl,Better With You,better with you,18 Dec 2018 17:20
Roy Blair,Cat Heaven,Switchblade,18 Dec 2018 17:17
Whethan,Can't Hide feat. Ashe,Can't Hide,18 Dec 2018 17:14
The Neighbourhood,Hard to imagine the neighbourhood ever changing,Paradise,18 Dec 2018 17:10
The walters,Hunk Beach / I Wanna Be Good,Hunk Beach,18 Dec 2018 17:07
Zach Farache,Fatigue,Sweeterman,18 Dec 2018 17:06
Coin,Cemetery,Cemetery,18 Dec 2018 17:03
Declan Mckenna,What Do You Think About The Car?,Brazil,18 Dec 2018 16:59
Chase Atlantic,Nostalgia,Friends,18 Dec 2018 16:55
Joji,BALLADS 1,yeah right,18 Dec 2018 16:52
Jeremy Zucker,idle,End,18 Dec 2018 16:49
Eden,all you need is love,nowhere else,18 Dec 2018 16:46
Blackbear,the 1,the 1,18 Dec 2018 16:42
Ollie MN,Songs from the Swamp,Please Never Fall in Love Again,18 Dec 2018 16:40
The Japanese House,Swim Against the Tide,Swim Against the Tide,18 Dec 2018 16:36
Kevin Abstract,American Boyfriend: A Suburban Love Story,Miserable America,18 Dec 2018 16:33
Clairo,4EVER,4EVER,18 Dec 2018 16:31
Whethan,Life of a Wallflower Vol. 1,Be Like You (feat. Broods),18 Dec 2018 16:28
Goody Grace,Too High (feat. Jesse),Too High (feat. Jesse),18 Dec 2018 16:26
Gnash,the broken hearts club,the broken hearts club,18 Dec 2018 16:23
lund,Gold,Chemistry,18 Dec 2018 16:20
Aries,CAROUSEL,Carousel,18 Dec 2018 16:17
RKCB,Vice,Vice,18 Dec 2018 16:14
Verzache,Ice Cream,ice cream,18 Dec 2018 16:11
Wet,11 Hours (Branchez Remix),11 Hours - Branchez Remix,18 Dec 2018 16:09
Michl,Die Trying,Die Trying,18 Dec 2018 16:04
Coin,I Don't Wanna Dance,I Don't Wanna Dance,18 Dec 2018 16:02
The Neighbourhood,Wiped Out!,Daddy Issues,18 Dec 2018 15:57
Her's,Invitation to Her's,Breathing Easy,18 Dec 2018 04:58
Raveena,Wherever U Go,Wherever U Go,18 Dec 2018 04:54
Sir,Something Foreign (feat. ScHoolboy Q),Something Foreign (feat. ScHoolboy Q),18 Dec 2018 04:52
Temporex,Care,Nice Boys,18 Dec 2018 04:49
Beach Fossils,Somersault,Down the Line,18 Dec 2018 04:46
Isaiah Rashad,The Sun's Tirade,Wat's Wrong (feat. Zacari & Kendrick Lamar),18 Dec 2018 04:41
The Internet,Purple Naked Ladies,She Dgaf - Explicit Album Version,18 Dec 2018 04:38
Clairo,diary 001,Hello?,18 Dec 2018 04:18
The Marías,I Don't Know You,I Don't Know You,18 Dec 2018 04:15
The Growlers,City Club,Night Ride,18 Dec 2018 04:11
The Growlers,City Club,Dope on a Rope,18 Dec 2018 04:01
Mild High Club,Timeline,TIMELINE,18 Dec 2018 03:32
Kevin Abstract,American Boyfriend: A Suburban Love Story,Seventeen,18 Dec 2018 03:29
Earl Sweatshirt,Doris,Burgundy,18 Dec 2018 03:27
omar apollo,Stereo,Amor Malo,18 Dec 2018 03:25
Vansire,Angel Youth,Halcyon Age,18 Dec 2018 03:22
Her's,Invitation to Her's,Breathing Easy,18 Dec 2018 03:12
Raveena,Wherever U Go,Wherever U Go,18 Dec 2018 03:09
Sir,Something Foreign (feat. ScHoolboy Q),Something Foreign (feat. ScHoolboy Q),18 Dec 2018 03:06
Beach Fossils,Somersault,Down the Line,18 Dec 2018 03:04
Isaiah Rashad,The Sun's Tirade,Wat's Wrong (feat. Zacari & Kendrick Lamar),18 Dec 2018 01:56
The Internet,Purple Naked Ladies,She Dgaf - Explicit Album Version,18 Dec 2018 01:49
Neon Trees,Songs I Can't Listen To,Songs I Can't Listen To,18 Dec 2018 01:49
Zacari,Heaven Sent (feat. J-Louis),Heaven Sent (feat. J-Louis),18 Dec 2018 00:12
Nai Palm,Needle Paw,Atoll,18 Dec 2018 00:09
Aaron Taylor,The Long Way Home,I Think I Love You Again,17 Dec 2018 23:03
Nai Palm,Needle Paw,Crossfire / So Into You,17 Dec 2018 23:01
Joomanji,Manj,Bustin Loose (feat. Saara Maria & Austin Antione),17 Dec 2018 22:57
Taylor McFerrin,Place In My Heart EP,Place In My Heart,17 Dec 2018 22:55
Neon Trees,Songs I Can't Listen To,Songs I Can't Listen To,17 Dec 2018 22:02
